fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4
马鞍山市集体土地征收补偿安置办法第十三条,地上附着物有下列情形之一的，不予补偿：（一）非本集体经济组织成员非法占用、买卖集体土地建设的附着物；（二）没有合法建设手续的；（三）征收土地预公告发布后，违法抢建、改建、扩建的；（四）超过批准使用期限的临时地上附着物；（五）有关批准文件中注明根据需要，应当无条件拆除的；（六）有关协议明确应当拆除而未拆除的；（七）其他违法建设。上述地上附着物，自行在规定时限内拆除的，给予适当拆除补助费。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第十四条,对在使用期限内的临时地上附着物，按重置价结合成新和剩余使用时间，给予相应补偿。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第十六条,被征收住宅装饰装修补偿，由被征地农户选择以下补偿方式中的一种：打捆补偿按照合法住宅补偿总额的35%计算；净值评估按照房地产评估有关规定执行。被征地农户逾期未选择，或者未选择评估机构的，视为选择打捆补偿方式。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第十八条,征收非住宅等地上附着物的，给予货币补偿，包括：（一）非住宅的补偿；（二）非住宅装饰装修的补偿；（三）围墙、地坪等补偿；（四）征收非住宅造成的设备搬迁和安装费用补偿；（五）无法恢复使用设备设施的补偿；（六）停产停业损失补偿；（七）其他合法补偿。用地、建设手续合法的房屋，按被征收房屋评估净值补偿。2005年底前，航拍图上有图斑，但无土地批准和规划手续，现正常生产经营、依法纳税的非住宅，在规定期限内搬迁的，可依法按被征收非住宅评估净值的70%补偿。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第十九条,征收非住宅，属破坏性拆除的设备、设施，按评估净值补偿。可搬迁设备，搬迁、安装费用由被征收人选择以下补偿方式中的一种：按被征收非住宅面积每平方米20元计算，最高10万元；按设备价值的5%计算。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第二十条,征收造成的停产停业损失，由依法纳税的被征收人选择以下补偿方式中的一种：征收公告日的前一年税后月平均利润，按6个月计算；按被征收非住宅合法建筑面积补偿款的3%计算。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第二十一条,征收自有营业用房及连家店的，被征收人应当提供不动产权属证书、营业执照等。证载土地用途为宅基地的，按住宅补偿标准的1。2倍计算，不再另行安置；证载为其他用途的，按非住宅标准补偿。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第二十三条,农业人员安置对象应当在征收土地预公告发布之日，从依法享有该农村集体经济组织土地经营承包权的集体经济组织成员中产生，按照规定不再享有集体经济组织权利的人员除外。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第二十四条,农村集体经济组织的土地被全部征收的，该集体经济组织全部农业人员为安置对象。被部分征收的，安置人员数由征地实施机构按被征耕地数量除以征地前被征地单位人均耕地数确定。被征地单位总人口为征地预公告发布之日，符合安置条件的集体经济组织成员数。征地前被征地单位耕地总数以土地现状调查成果为准。耕地是指菜地、水田、水浇地、旱地、经济作物地。精养鱼塘（含鱼苗塘）按耕地计算。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第二十五条,具体安置人员名单由被征地农村集体经济组织依法确定，并公示不少于5日。乡镇人民政府（街道办事处）初审，区征收部门会同农业农村、人力资源和社会保障等部门复核，征地主体批准。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第二十六条,符合条件的安置人员纳入市级基本养老社会保障体系。社会保障费用单独列支，计入征地成本。征地主体应当将有劳动能力、有就业需求的安置人员纳入公共就业服务范围，促进其就业创业。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第二十八条,有下列情形的，不予住房安置：（一）住宅未被征收的；（二）租房居住、暂时居住的；（三）非本集体经济组织成员通过继承、赠予、买卖、承租等取得房屋所有权、使用权或者购买宅基地，自建房屋的；（四）历次征收中已安置的；（五）已享受福利分房、房改售房、集资建房等城镇住房福利的；（六）地上附着物系违法建设，或者违法占地、超过批准使用期限的；（七）其他不予安置情形。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第二十九条,住房安置以征收土地公告日为截止时间。在征收土地公告之日起10个月内出生，且符合住房安置条件的新生儿，可以补报。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第三十一条,住房安置应当充分尊重被征地农户意愿，由被征地农户自主选择一种安置方式。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第三十三条,符合住房安置条件人员，有下列条件之一的，一次性补助5万元：（一）领取独生子女光荣证且未再生育子女家庭；（二）已达法定婚龄的未婚人员；（三）孤儿或丧偶独居人员。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第三十四条,符合住房安置条件的人员由村（社区）委员会张榜公示，公示时间不少于5日，乡镇人民政府（街道办事处）初审，区征收部门审核，征地主体批准。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第三十五条,被征地农户因征收在本市购买住房的，按照规定减免契税。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第三十六条,被征地农户子女就读义务教育阶段学校，因征收转学的，教育部门应当根据其过渡住址，就近安排入学。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第三十七条,被征地农户应当自征地主体结清各项费用后的30日内，交付被征收土地及地上附着物。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第三十八条,征地主体应当完善集体土地征收补偿安置信息公开制度，加强信息公开工作。征地主体应当完善集体土地征收补偿安置档案管理制度，规范档案管理。项目结束并经审计后，移交档案部门。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第三十九条,征地工作经费、不可预见费按项目总费用的9%计提。其中，工作经费5%，不可预见费4%，根据项目进度据实支付。具体使用管理由各征地主体决定。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第四十条,有下列情形的，由有关部门责令改正，依法追究主管人员和相关责任人员责任；构成犯罪的，依法追究刑事责任；有违法所得的，予以追缴：（一）在征地工作中玩忽职守、滥用权力、徇私舞弊的；（二）弄虚作假、冒名顶替骗取征地补偿安置费用，或者截留补偿费用的；（三）侵占、挪用征地补偿费用的；（四）阻挠、破坏征地工作，妨碍执行公务的；（五）建设用地单位或个人擅自征地补偿安置的；（六）其他违法违规情形。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第四十一条,各县可以根据当地经济发展水平，依法制定集体土地征收补偿安置办法。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第四十二条,本办法自2024年7月1日起施行。本办法施行前已发布征地补偿安置公告的项目，继续适用原有规定。,无对应案由,,,
马鞍山市集体土地征收补偿安置办法第三条,土地征收补偿和安置应当遵循合法、合理、公平、公开的原则，保障被征地农民的知情权、参与权、监督权，保障被征地农民及时足额获得补偿，得到妥善安置。,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,物权纠纷 > 用益物权纠纷 > 土地承包经营权纠纷 > 承包地征收补偿费用分配纠纷,物权纠纷 > 物权保护纠纷 > 财产损害赔偿纠纷,
马鞍山市集体土地征收补偿安置办法第十条,因征收土地造成水利、交通运输、电力、通讯基础设施等其他地上附着物损坏的，征地主体应当按照等效替代的原则进行迁移、改建或者支付迁移费、改建费、补偿费等。相关费用纳入征地成本。,物权纠纷 > 用益物权纠纷 > 土地承包经营权纠纷 > 承包地征收补偿费用分配纠纷,物权纠纷 > 所有权纠纷 > 侵害集体经济组织成员权益纠纷,合同、准合同纠纷 > 合同纠纷 > 民事主体间房屋拆迁补偿合同纠纷,
马鞍山市集体土地征收补偿安置办法第三十条,共同生活居住在同一住址的被征地农户人员，为一户。征地补偿安置方案公告发布之日，符合住房安置条件的被征地农户子女达到法定婚龄的，允许分户安置。征收土地预公告发布后离婚的，按原一户计算。,物权纠纷 > 用益物权纠纷 > 土地承包经营权纠纷 > 承包地征收补偿费用分配纠纷,物权纠纷 > 所有权纠纷 > 侵害集体经济组织成员权益纠纷,,
马鞍山市集体土地征收补偿安置办法第二十二条,地上附着物和青苗等补偿费归所有权人所有。住宅、非住宅等出租的，补偿其所有权人。,物权纠纷 > 物权保护纠纷 > 财产损害赔偿纠纷,物权纠纷 > 所有权纠纷 > 侵害集体经济组织成员权益纠纷,,
马鞍山市集体土地征收补偿安置办法第二十七条,住房安置应当符合下列条件：（一）在被征收集体土地上有合法住房；（二）合法拥有宅基地使用权；（三）征收土地预公告发布时，为被征收集体经济组织成员，并依法享有该集体经济组织权利，承担该集体经济组织义务。原集体经济组织成员，现仍在被征收住宅生活，并作为其经常居住地，且有合法产权登记手续的，比照应安置人员安置，但户籍迁出我市市辖区的除外。,物权纠纷 > 所有权纠纷 > 侵害集体经济组织成员权益纠纷,合同、准合同纠纷 > 合同纠纷 > 民事主体间房屋拆迁补偿合同纠纷,物权纠纷 > 用益物权纠纷 > 宅基地使用权纠纷,物权纠纷 > 物权保护纠纷 > 物权确认纠纷 > 所有权确认纠纷
马鞍山市集体土地征收补偿安置办法第十五条,对被征收住宅等地上附着物的补偿包括：（一）住宅的补偿；（二）住宅装饰装修的补偿；（三）征收住宅造成的搬迁、临时安置补偿；（四）围墙、地坪等补偿；（五）其他补偿。,合同、准合同纠纷 > 合同纠纷 > 民事主体间房屋拆迁补偿合同纠纷,,,
马鞍山市集体土地征收补偿安置办法第十七条,搬迁补偿费以户为单位，每户1000元。被征地农户在规定时间内搬迁的，按合法或经调查认定的住宅面积，给予每平方米100元搬迁奖励，最高不超过2万元。被征地农户选择货币化安置的，一次性给予6个月的临时安置补助费。被征地农户选择产权调换方式安置的，应当先安置后搬迁。无法做到先安置后搬迁的，应当支付临时安置补助费，支付期间为被征地农户腾退房屋之日起，至通知领取安置房钥匙之日后的6个月止。因政府责任，被征地农户自腾退房屋之日起3年未获安置的，自逾期之日起，按不低于2倍的标准支付临时安置补助费，搬迁补偿费按两次计算。,合同、准合同纠纷 > 合同纠纷 > 民事主体间房屋拆迁补偿合同纠纷,,,
马鞍山市集体土地征收补偿安置办法第三十二条,被征收人选择货币化安置方式的，应当评估宅基地和住宅的价值，一并作出补偿安置。被征地农户选择产权调换方式安置的，每个应予住房安置人员按40平方米实行等建筑面积产权调换，互不支付差价。被征地农户人均原合法住房建筑面积（不含披房、附房）低于40平方米的，按40平方米计算。超过40平方米的部分，按房屋重置价结合成新补偿给被征地农户。安置房超过应安置建筑面积不到5平方米（含5平方米）的部分，视为自然超面积，以安置房建安造价的50%购买；超过5平方米以上10平方米以下（含10平方米）的部分，以安置房建安造价购买；超过10平方米以上的部分，以安置房建设成本价购买。安置房未达到应安置建筑面积的，不足部分以安置房建设成本价支付给被征地农户。各征地主体确定安置房建安造价和建设成本价，公布后实施。,合同、准合同纠纷 > 合同纠纷 > 民事主体间房屋拆迁补偿合同纠纷,物权纠纷 > 用益物权纠纷 > 宅基地使用权纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主专有权纠纷,
