fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3
马鞍山市城市绿化管理办法第十一条,城市绿化工程的设计，应当委托持有相应资格证书的设计单位承担。工程建设项目的附属绿化工程设计方案，按照基本建设程序审批时，应当有绿化行政主管部门参加审查。建设单位必须按照批准的设计方案进行施工。设计方案确需改变时，应当报原审批机关批准。,无对应案由,,
马鞍山市城市绿化管理办法第十二条,依法应当实行招标的城市绿化工程，按照规定进行招标。城市绿化工程招标文件中应当明确以下内容：（一）投标人应具有与城市绿化工程项目相匹配的履约能力；（二）资格审查委员会、评标委员会中园林专业专家人数不少于委员会专家人数的三分之一；（三）法律、法规规定的其他要求。,无对应案由,,
马鞍山市城市绿化管理办法第十三条,建设项目的附属绿化工程建设应当与主体工程同步设计、同步验收并同时交付使用。附属绿化工程因季节原因不能同时交付使用的，应当向绿化行政主管部门说明情况，并在主体工程交付使用后的六个月内交付使用。,无对应案由,,
马鞍山市城市绿化管理办法第十四条,城市绿化工程和建设项目附属绿化工程竣工后，建设单位应当依法组织验收。居住区附属绿化工程竣工验收合格后，建设单位应当在居住区的显著位置公示绿地平面图。绿化行政主管部门应当跟踪监督城市绿化工程的工程质量，按规定开展检查，并将检查结果向社会公示。,无对应案由,,
马鞍山市城市绿化管理办法第十五条,新建居住社区应当按照国家规定规划建设游园。既有居住社区改造时，具备条件的应当建设游园。,无对应案由,,
马鞍山市城市绿化管理办法第十六条,待开发的建设用地超过三个月未开工的，绿化行政主管部门应当指导建设单位进行临时绿化。,无对应案由,,
马鞍山市城市绿化管理办法第十七条,鼓励新建办公楼、居民住宅楼等建筑物和构筑物在设计时，进行垂直绿化、屋顶绿化等立体绿化设计。城市高架道路、轨道交通等市政设施适宜垂直绿化的，应当逐步实施垂直绿化。城市主干道两侧的实体围墙，具备条件的鼓励逐步拆围透绿，实行开放式绿化。鼓励新建和具备条件的停车场建成林荫式停车场。,无对应案由,,
马鞍山市城市绿化管理办法第十八条,绿化管理责任单位按照以下规定确定：（一）政府投资建设的城市绿地，由市、县（区）绿化行政主管部门或者其委托的单位负责管理。（二）单位附属绿地，由所在单位负责管理。（三）生产绿地，由其经营单位负责管理。（四）居住区绿地，实行物业管理的，由物业服务人负责管理；未实行物业管理的，由产权人或者所在地的街道办事处、镇人民政府负责管理。（五）建设工程范围内保留的绿地，在建设期间由建设单位负责管理。绿化管理责任不清或者有争议的，由所在地的绿化行政主管部门确定。,无对应案由,,
马鞍山市城市绿化管理办法第十九条,绿化管理责任单位应当履行以下职责：（一）配备相应的养护管理人员；（二）制定绿化养护管理制度和救灾减灾应急预案，采取相应安全防范及管控措施；（三）按照绿化养护规范进行设施维护和绿化养护；（四）及时劝阻损绿毁绿行为，并向绿化行政主管部门报告；（五）法律、法规规定的其他职责。,无对应案由,,
马鞍山市城市绿化管理办法第二十条,城市内的树木，不得擅自砍伐。因树木死亡、危及公共安全、发生检疫性病虫害或者其他严重病虫害需要砍伐树木的，应当经绿化行政主管部门批准，并按照国家有关规定补植树木或者采取其他补救措施。因抢险救灾、处理突发事故等紧急情况，确需砍伐树木的，可以先行实施。但是，应当在实施后三个工作日内告知绿化行政主管部门和绿地管理责任单位。,无对应案由,,
马鞍山市城市绿化管理办法第二十一条,城市内的树木需要移植的，绿化管理责任单位应当告知绿化行政主管部门，并可以请求给予技术指导。移植时应当采取必要措施，保证树木移植后正常生长。,无对应案由,,
马鞍山市城市绿化管理办法第二十二条,绿化管理责任单位应当定期检查树木生长情况。有下列情形之一的，应当按照兼顾公共安全和树木正常生长的原则及时组织修剪：（一）树木生长严重影响采光、通风，利害关系人提出修剪要求的；（二）遮蔽城市道路照明设施，遮挡交通信号灯、交通标志标线或者监控设备的；（三）树木自身养护需要的；（四）其他应当修剪的情况。修剪城市内的树木，应当遵守相关技术规范，不得过度、超强度修剪。必要时，可以请求所在地的绿化行政主管部门予以技术指导。,无对应案由,,
马鞍山市城市绿化管理办法第二十三条,禁止下列损坏城市绿化和绿化设施的行为：（一）在城市树木花草周围或绿地内倾倒影响植物生长的有毒有害物质；（二）损坏花坛、座椅、栏杆、园灯、水电设施、雕塑小品、园路铺装等绿化设施；（三）损坏城市树木的根、茎、叶、花、果及土壤；（四）依树盖房、搭棚、立牌、刻损树干、在树木上钉钉、缠绕绳索、悬挂条幅、系绳晒物；（五）践踏、挖掘或者损坏花卉、草坪、绿篱等绿化植物；（六）进入设有明示禁止入内标志的绿地；（七）其他损坏城市树木花草或者城市绿化设施的行为。,无对应案由,,
马鞍山市城市绿化管理办法第二十四条,任何单位和个人都不得擅自占用城市各类绿化用地。因城市建设等特殊需要临时占用绿地的，应当经绿化行政主管部门同意，并按照有关规定办理临时用地手续。临时占用城市绿地期限一般不超过一年，确因建设需要延长的，应当办理延期手续，延期最长不超过一年。经批准临时占用绿地的，应当在被占绿地四周明显位置公示占用单位、事由、期限和批准单位、时间及恢复措施等相关信息，并在临时占用期满之日起十日内开展绿地恢复工作。,无对应案由,,
马鞍山市城市绿化管理办法第二十五条,在城市的公共绿地内开设商业、服务摊点的，应当持市场监督管理部门批准的营业执照，在公共绿地管理单位指定的地点从事经营活动，并遵守公共绿地和市场监督管理的规定。,无对应案由,,
马鞍山市城市绿化管理办法第二十六条,开发利用绿地地下空间的，应当符合国家和地方有关规范，并不得影响树木正常生长和绿地正常使用。有关部门在审批时，应当征求绿化行政主管部门意见。,无对应案由,,
马鞍山市城市绿化管理办法第二十七条,绿化行政主管部门应当定期组织开展绿化资源调查，完善绿化资源档案和绿化管理信息系统。,无对应案由,,
马鞍山市城市绿化管理办法第二十八条,市绿化行政主管部门应当建立城市园林绿化行业信用评价管理制度，负责园林绿化行业市场主体的信用管理实施工作。,无对应案由,,
马鞍山市城市绿化管理办法第二十九条,违反本办法规定，有下列行为之一的，由绿化行政主管部门责令停止侵害，可以按照下列规定处以罚款；造成损失的，应当负赔偿责任；应当给予治安管理处罚的，依照《中华人民共和国治安管理处罚法》的有关规定处罚；构成犯罪的，依法追究刑事责任：（一）违反本办法第二十条规定，擅自砍伐树木的，处以五百元以上一千元以下罚款。（二）违反本办法第二十一条规定，移植树木措施不当，导致树木死亡的，处以二百元以上八百元以下罚款。（三）违反本办法第二十二条规定，未遵守有关技术规范，过度修剪或者超强度修剪的，处以五十元以上二百元以下罚款；导致树木死亡或者完全丧失原有功能的，处以五百元以上一千元以下罚款。（四）违反本办法第二十三条第一项、第二项、第七项规定，毒害城市绿化植物或者损坏城市绿化设施的，处以二百元以上五百元以下罚款。（五）违反本办法第二十三条第三项至七项规定，损坏城市树木花草的，处以一百元以下罚款。,无对应案由,,
马鞍山市城市绿化管理办法第三十一条,违反本办法第二十五条规定，商业、服务摊点不服从公共绿地管理单位管理的，由绿化行政主管部门给予警告，可以并处五十元以上二百元以下罚款；情节严重的，可以提请市场监督管理部门吊销营业执照。,无对应案由,,
马鞍山市城市绿化管理办法第三十二条,有关管理部门及其工作人员违反本办法规定，在城市绿化管理工作中滥用职权、徇私舞弊、玩忽职守的，对直接负责的主管人员和其他直接责任人员，依法给予处分；构成犯罪的，依法追究刑事责任。,无对应案由,,
马鞍山市城市绿化管理办法第三十三条,违反本办法规定的行为，有关法律、法规对法律责任另有规定的，从其规定。,无对应案由,,
马鞍山市城市绿化管理办法第三十四条,本办法所称城市绿地包括：（一）公园绿地：向公众开放，以游憩为主要功能，兼具生态、景观、文教和应急避险等功能，有一定游憩和服务设施的绿地。（二）防护绿地：用地独立，具有卫生、隔离、安全、生态防护功能，游人不宜进入的绿地。（三）广场用地：以游憩、纪念、集会和避险等功能为主的城市公共活动场地。（四）附属绿地：附属于各类城市建设用地的绿化用地。包括居住用地、公共管理与公共服务设施用地、商业服务业设施用地、工业用地、物流仓储用地、道路与交通设施用地、公用设施用地等用地中的绿地。（五）区域绿地：位于城市建设用地之外，具有城乡生态环境及自然资源和文化资源保护、游憩健身、安全防护隔离、物种保护、园林苗木生产等功能的绿地。本办法所称绿地率，是指城市一定地区内各类绿化用地总面积占该地区总面积的比例。本办法所称游园，是指用地独立，规模较小或形状多样，方便居民就近进入，具有一定游憩功能的绿地。,无对应案由,,
马鞍山市城市绿化管理办法第三十五条,本办法自2021年3月12日起施行。2008年12月3日马鞍山市人民政府印发的《马鞍山市城市绿化管理办法》（马政〔2008〕74号）同时废止。,无对应案由,,
马鞍山市城市绿化管理办法第三十条,违反本办法第二十四条规定，擅自占用城市绿化用地的，由绿化行政主管部门责令限期退还、恢复原状，并可以对单位处以一千元以上一万元以下罚款，对个人处以五十元以上二百元以下罚款，造成损失的应当负赔偿责任。,物权纠纷 > 物权保护纠纷 > 恢复原状纠纷,物权纠纷 > 物权保护纠纷 > 返还原物纠纷,物权纠纷 > 物权保护纠纷 > 财产损害赔偿纠纷
