fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4,cause_of_action_5
安徽省物业专项维修资金管理办法第四十一条,本办法自2025年7月1日起施行。2006年12月14日安徽省人民政府令第197号公布，根据2008年4月22日《安徽省人民政府关于修改〈安徽省地震监测设施和观测环境保护暂行规定〉等规章的决定》第一次修订、2019年2月27日《安徽省人民政府关于修改部分规章的决定》第二次修订的《安徽省物业专项维修资金管理暂行办法》同时废止。,无对应案由,,,,
安徽省物业专项维修资金管理办法第三条,物业专项维修资金属于业主共有。物业专项维修资金的管理，遵循专户存储、专款专用、所有权人决策、政府监督的原则。,物权纠纷 > 所有权纠纷 > 业主共有权纠纷,,,,
安徽省物业专项维修资金管理办法第六条,下列物业的业主应当交存物业专项维修资金：（一）住宅，但一个业主所有且与其他物业不具有共用部位、共用设施设备的除外；（二）住宅小区内的非住宅或者住宅小区外与单幢住宅结构相连的非住宅。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,,
安徽省物业专项维修资金管理办法第七条,业主、建设单位应当按照所拥有物业的建筑面积交存首期物业专项维修资金，每平方米建筑面积交存的数额为物业所在的市、县住宅建筑安装工程每平方米造价的5%至8%。市、县人民政府物业管理主管部门应当根据本地区实际情况，按照前款规定合理确定、公布首期物业专项维修资金的交存数额，并适时调整。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,,
安徽省物业专项维修资金管理办法第八条,已售出的物业，首期物业专项维修资金由业主在办理房屋入住手续前向所在地市、县人民政府物业管理主管部门交存；建设单位自用、出租以及已经竣工尚未售出的物业，首期物业专项维修资金由建设单位在办理竣工验收备案前向所在地市、县人民政府物业管理主管部门交存。市、县人民政府应当加强物业专项维修资金交存衔接机制建设，促进物业专项维修资金应交尽交。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,,
安徽省物业专项维修资金管理办法第十条,业主物业专项维修资金分户账面余额不足首期交存额30%的，应当及时续筹。已成立业主大会的，由业主委员会拟定物业专项维修资金续筹标准和方案，提交业主大会决定后组织实施；未成立业主大会的，续筹物业专项维修资金的具体办法由市、县人民政府物业管理主管部门会同财政部门制定。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,,
安徽省物业专项维修资金管理办法第十一条,下列资金应当转入物业专项维修资金滚存使用：（一）物业专项维修资金的存储利息；（二）利用物业专项维修资金购买国债的增值收益；（三）利用物业共用部位、共用设施设备进行经营的业主所得收益，但业主大会另有决定的除外；（四）物业共用设施设备报废后回收的残值。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,物权纠纷 > 物权保护纠纷 > 财产损害赔偿纠纷,,
安徽省物业专项维修资金管理办法第十二条,业主大会成立前，物业专项维修资金由市、县人民政府物业管理主管部门代行管理；业主大会成立后，根据业主大会决定，选择由市、县人民政府物业管理主管部门代行管理或者由业主大会自行管理。业主大会未能作出决定的，由市、县人民政府物业管理主管部门代行管理。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,,
安徽省物业专项维修资金管理办法第十四条,业主大会决定自行管理物业专项维修资金的，业主委员会应当持经表决通过的业主大会决议，书面通知市、县人民政府物业管理主管部门办理物业专项维修资金划转手续。物业管理主管部门应当自收到书面通知之日起30日内，办理物业专项维修资金划转手续，并移交有关账目。经表决通过的业主大会决议应当包括决定自行管理物业专项维修资金的表决结果、专户管理银行、账目责任人、管理制度等内容。业主大会决定自行管理物业专项维修资金的具体管理和使用办法，按照国家、省有关规定执行。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,物权纠纷 > 所有权纠纷 > 业主知情权纠纷,物权纠纷 > 所有权纠纷 > 业主撤销权纠纷,
安徽省物业专项维修资金管理办法第十六条,业主大会决定终止自行管理物业专项维修资金，或者业主大会关于自行管理物业专项维修资金的决定被依法撤销的，业主委员会应当立即终止自行管理并将自行管理的物业专项维修资金账面余额移交市、县人民政府物业管理主管部门代行管理。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,,
安徽省物业专项维修资金管理办法第十七条,市、县人民政府物业管理主管部门、业主委员会，应当每半年与专户管理银行核对物业专项维修资金账目，并及时向业主公开下列信息：（一）交存、使用、增值收益和结存的金额；（二）发生列支的项目及其费用和分摊金额；（三）其他使用和管理的信息。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,,
安徽省物业专项维修资金管理办法第十八条,支付物业专项维修资金，应当通过转账到合同约定的账户结算，不得支取现金结算。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,,
安徽省物业专项维修资金管理办法第二十条,物业转让时，业主应当向受让人说明物业专项维修资金交存和结余情况并出具有效证明，该房屋分户账中结余的物业专项维修资金随所有权同时过户；未交存物业专项维修资金或者账面余额不足的，应当按照规定补建补交。物业灭失的，市、县人民政府物业管理主管部门应当及时将交存的物业专项维修资金账面余额予以返还。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,物权纠纷 > 物权保护纠纷 > 财产损害赔偿纠纷,合同、准合同纠纷 > 合同纠纷 > 房屋买卖合同纠纷 > 商品房销售合同纠纷,物权纠纷 > 物权保护纠纷 > 返还原物纠纷
安徽省物业专项维修资金管理办法第二十二条,物业专项维修资金应当专项用于物业保修期满后物业共用部位、共用设施设备的维修、更新和改造，不得挪作他用。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,,
安徽省物业专项维修资金管理办法第二十四条,申请使用物业管理主管部门代行管理的物业专项维修资金，应当按照下列程序办理：（一）由物业服务企业根据维修、更新和改造项目提出使用建议，业主委员会制定物业专项维修资金使用方案；（二）物业专项维修资金使用方案应当由物业专项维修资金列支范围内专有部分面积占比三分之二以上的业主且人数占比三分之二以上的业主参与表决，经参与表决专有部分面积过半数的业主且参与表决人数过半数的业主同意；（三）业主委员会向所在地市、县人民政府物业管理主管部门提供经表决的使用方案；（四）市、县人民政府物业管理主管部门应当自收到使用方案之日起2日内进行核实；符合物业专项维修资金使用规定的，应当通知专户管理银行办理物业专项维修资金划转手续。实施物业管理但尚未成立业主委员会的，由相关业主或者物业服务企业制定物业专项维修资金使用方案。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,物权纠纷 > 所有权纠纷 > 业主知情权纠纷,物权纠纷 > 所有权纠纷 > 业主撤销权纠纷,
安徽省物业专项维修资金管理办法第二十五条,紧急情况下需要立即维修、更新和改造电梯、屋顶、外墙、无障碍设施等物业共用部位、共用设施设备，使用物业专项维修资金的，有关责任主体应当按照有关法律、法规规定的程序办理。市、县人民政府物业管理主管部门应当自收到应急处置方案之日起2日内进行核实；符合物业专项维修资金使用规定的，应当通知专户管理银行办理物业专项维修资金划转手续。应急维修费用应当向业主公示，并从相关业主的物业专项维修资金分户账中按照专有部分面积所占比例分摊列支。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,物权纠纷 > 物权保护纠纷 > 财产损害赔偿纠纷,,
安徽省物业专项维修资金管理办法第二十六条,业主委员会可以按年度申请使用物业专项维修资金。按年度申请使用物业专项维修资金的，按照下列程序办理：（一）业主委员会制定物业专项维修资金年度使用计划；（二）物业专项维修资金年度使用计划应当由物业专项维修资金列支范围内专有部分面积占比三分之二以上的业主且人数占比三分之二以上的业主参与表决，经参与表决专有部分面积过半数的业主且参与表决人数过半数的业主同意；（三）业主委员会向所在地市、县人民政府物业管理主管部门提供经表决的年度使用计划；（四）市、县人民政府物业管理主管部门应当自收到年度使用计划之日起2日内进行核实；符合物业专项维修资金使用规定的，应当按照年度使用计划实施进度通知专户管理银行办理物业专项维修资金划转手续。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,物权纠纷 > 所有权纠纷 > 业主知情权纠纷,物权纠纷 > 所有权纠纷 > 业主撤销权纠纷,
安徽省物业专项维修资金管理办法第二十八条,物业专项维修资金的分摊，相关业主有约定的从其约定；没有约定的，按照下列规定分摊：（一）用于物业管理区域内共用设施设备维修、更新和改造的，由全体业主按所拥有的物业建筑面积比例分摊；（二）用于单幢或者多幢物业共用部位、共用设施设备的，由该幢或者多幢业主按所拥有的物业建筑面积比例分摊；（三）用于单元物业共用部位、共用设施设备的，由单元内业主按所拥有的物业建筑面积比例分摊。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,,
安徽省物业专项维修资金管理办法第三十条,使用物业专项维修资金的维修、更新和改造工程竣工后，组织实施单位应当依法组织工程竣工验收，经验收合格后方可交付使用。聘请工程监理的，监理单位应当一同参与竣工验收。物业专项维修资金列支范围内的业主可以参与竣工验收。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,,
安徽省物业专项维修资金管理办法第三十二条,业主未交存或者未续交物业专项维修资金的，业主委员会应当督促交存。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,,
安徽省物业专项维修资金管理办法第二十七条,物业专项维修资金使用方案、年度使用计划、应急处置方案的内容应当包括拟维修、更新和改造的项目，费用预算，列支范围，维修单位选聘方式。用于维修、更新和改造项目的鉴定评估、设计、审价、监理、招标服务等费用，可以计入维修、更新和改造成本，与工程预算总额并列计入费用预算内容，在物业专项维修资金使用方案、年度使用计划、应急处置方案中载明。,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,物权纠纷 > 物权保护纠纷 > 财产损害赔偿纠纷,合同、准合同纠纷 > 合同纠纷 > 服务合同纠纷 > 物业服务合同纠纷,,
