fullClauseName,text,cause_of_action_1,cause_of_action_2
安徽省建设工程监理管理办法第二十八条,工程监理人员因过错造成质量事故的，由县级以上地方人民政府建设行政主管部门依照国务院《建设工程质量管理条例》的规定给予处罚。,无对应案由,
安徽省建设工程监理管理办法第二十九条,建设行政主管部门及其他有关部门的工作人员在建设工程监理管理工作中玩忽职守、滥用职权、徇私舞弊，构成犯罪的，依法追究刑事责任；尚未构成犯罪的，依法给予行政处分。,无对应案由,
安徽省建设工程监理管理办法第三十条,本办法应用中的具体问题，由省人民政府建设行政主管部门负责解释。,无对应案由,
安徽省建设工程监理管理办法第三十一条,本办法自发布之日起施行。,无对应案由,
安徽省建设工程监理管理办法第三条,工程监理单位应当遵循客观、公正、科学和诚实信用的原则，依法开展建设工程监理活动。,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 建设工程监理合同纠纷,
安徽省建设工程监理管理办法第五条,下列建设工程应当实行监理：（一）国家重点建设工程；（二）大中型公用事业工程；（三）成片开发建设的住宅小区工程；（四）利用外国政府或者国际组织贷款、援助资金的工程；（五）国家规定必须实行监理的其他工程。,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 建设工程监理合同纠纷,
安徽省建设工程监理管理办法第八条,施工准备及施工阶段可以委托工程监理单位监理的主要内容：（一）协助建设单位签订施工合同；（二）确认施工单位选择的分包单位；（三）审查施工组织设计、施工技术方案、施工进度计划、施工质量保证体系和安全保证体系，并监督实施；（四）抽查、核验工程使用的建筑材料、构配件及设备的数量和质量；（五）参与建设工程的竣工验收和工程结算的审查；（六）负责建设工程保修期工程质量状态的检查以及责任鉴定，督促施工单位保修，复核保修结算。,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 建设工程监理合同纠纷,
安徽省建设工程监理管理办法第十七条,建设工程监理实行招标投标制度。建设单位应当按照国家和本省有关规定，采取招标投标方式择优选择工程监理单位。建设单位根据需要，可以委托一个工程监理单位承担全部阶段的监理业务，也可以委托几个工程监理单位承担不同阶段的监理业务，但是施工准备和施工阶段的监理只能委托一个工程监理单位承担。,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 建设工程监理合同纠纷,
安徽省建设工程监理管理办法第十九条,工程监理单位及其工程监理人员在从事建设工程监理时，对工程施工不符合工程设计要求、施工技术标准和合同工程质量标准或者合同约定的质量要求的，应当报告建设单位要求设计单位改正。,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 建设工程监理合同纠纷,
安徽省建设工程监理管理办法第二十条,实行监理的建设工程，未经工程监理单位选派的监理工程师签字，施工单位不得将建筑材料、构配件和设备在工程上使用或者安装，不得进行下一道工序的施工；建设单位不得拨付工程进度款，也不得进行竣工验收。,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 建设工程监理合同纠纷,
安徽省建设工程监理管理办法第二十三条,建设工程监理费列入工程概算，标准由建设单位与工程监理单位按照国家有关规定在监理合同中约定。中外合资、外商独资和国外贷款、赠款、捐款建设的工程，其工程监理费标准及付款方式，由双方当事人参照国际惯例协商确定。,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 建设工程监理合同纠纷,
安徽省建设工程监理管理办法第十八条,实行监理的建设工程，建设单位与工程监理单位应当订立书面委托监理合同。实施建设工程监理前，建设单位应当将委托工程监理单位、监理的内容及监理权限，书面通知被监理工程的承包单位。,合同、准合同纠纷 > 合同纠纷 > 委托合同纠纷 > 建设工程监理合同纠纷,
安徽省建设工程监理管理办法第二十二条,工程监理单位在工程监理实施中提出合理化建议，被建设单位、设计单位或者承包单位采用，由此降低工程造价或者缩短工期、提高经济效益的，建设单位应当视合理化建议的技术难度、节约费用多少及缩短工期的情况给予奖励。,合同、准合同纠纷 > 合同纠纷 > 服务合同纠纷 > 工程监理合同纠纷,
