fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4
安徽省建设工程安全生产管理办法第十二条,勘察、设计单位应当按照法律法规和强制性标准进行勘察、设计，对基坑开挖、地下暗挖、吊装、爆破、高大模板和高边坡作业等涉及施工安全的重点部位和环节在勘察、设计文件中予以注明，提出防范生产安全事故的指导意见，并在开工前向施工单位交底。,无对应案由,,,
安徽省建设工程安全生产管理办法第十三条,施工现场的安全由施工单位负责。实行施工总承包的，由总承包单位负责。总承包单位依法将建设工程分包给其他单位的，分包合同中应当明确各自的安全生产方面的权利、义务。总承包单位和分包单位对分包工程的安全生产承担连带责任。分包单位应当服从总承包单位的安全生产管理，分包单位不服从管理导致生产安全事故的，由分包单位承担主要责任。,无对应案由,,,
安徽省建设工程安全生产管理办法第十四条,施工单位应当建立安全生产责任制度和安全教育培训、安全隐患排查治理、重大危险源监管、负责人带班等安全管理制度，评估安全隐患风险，落实治理责任。施工单位应当制定本单位和施工现场生产安全事故应急救援预案，建立应急救援组织，配备必要的应急救援器材、设备和物资，组织应急救援演练。,无对应案由,,,
安徽省建设工程安全生产管理办法第十五条,施工单位应当设置安全生产管理机构，配备专职安全生产管理人员，负责安全生产和设备安全管理。施工项目应当按照规定配备专职安全生产管理人员，对项目实施安全生产和设备安全管理。,无对应案由,,,
安徽省建设工程安全生产管理办法第十六条,专职安全生产管理人员负责对建设工程安全生产、重大危险源进行现场监督检查。对违章指挥和违章操作的行为予以制止和纠正，发现事故隐患及时报告项目负责人；对重大隐患应当报告本单位安全生产管理机构和有关安全生产监督管理部门。,无对应案由,,,
安徽省建设工程安全生产管理办法第十八条,建设工程施工前，负责项目管理的技术人员应当向施工班组、作业人员告知下列安全施工技术要求，并由双方签字确认：（一）工作场所、岗位的危险因素；（二）危险岗位的操作规程；（三）违章操作的危害；（四）安全事故和职业危害的防范措施；（五）发生紧急情况时的应急措施；（六）其他应当告知的事项。,无对应案由,,,
安徽省建设工程安全生产管理办法第十九条,施工作业人员享有下列安全生产权利：（一）了解施工作业的危险和危害；（二）对施工安全工作存在的问题提出批评、检举和控告；（三）拒绝违章指挥和强令冒险作业；（四）发现有危及人身安全的紧急情况，立即停止作业或者在采取必要的应急措施后撤离危险区域；（五）获得职业卫生与健康保障；（六）参加安全生产教育和培训；（七）法律、法规规定的其他安全生产权利。,无对应案由,,,
安徽省建设工程安全生产管理办法第二十条,施工作业人员应当履行下列安全生产义务：（一）依法取得相应的岗位证书；（二）遵守安全生产标准、制度和操作规程；（三）正确使用安全防护用品、机械设备；（四）服从安全生产管理；（五）接受安全生产教育和培训，参加安全应急演练；（六）法律、法规规定的其他安全生产义务。,无对应案由,,,
安徽省建设工程安全生产管理办法第二十一条,施工单位应当开展安全生产管理和安全生产防护的标准化建设，提高安全生产水平，确保生产安全。,无对应案由,,,
安徽省建设工程安全生产管理办法第二十二条,工程监理单位应当落实建设工程安全工作的工程监理责任，明确总监理工程师、专业监理工程师的安全生产责任。工程监理单位应当将建设工程安全的监理责任纳入建设工程监理规划，并细化危险性较大的分部分项工程的监理内容和措施。,无对应案由,,,
安徽省建设工程安全生产管理办法第二十三条,工程监理单位应当对施工单位的下列安全管理事项进行审查：（一）项目负责人、专职安全生产管理人员和特种作业人员的资格；（二）安全生产管理制度落实情况；（三）安全文明施工费使用情况；（四）安全技术措施、安全专项施工方案及实施情况；（五）分包单位的安全生产许可证和资质，相关从业人员的资格；（六）机械设备和施工机具的维护、保养、使用情况；（七）安全生产教育培训情况；（八）法律、法规和强制性标准规定的其他事项。,无对应案由,,,
安徽省建设工程安全生产管理办法第二十四条,县级以上人民政府住房和城乡建设、交通运输、水利等行政主管部门应当根据需要，采取全面检查与专项检查、日常巡查与重点抽查、明查与暗访相结合等方式进行建设工程安全生产监督检查。监督检查应当遵守国家有关随机抽取被检查对象、随机选派检查人员的要求。监督检查机构及其监督检查人员不得违法收取费用，不得接受被检查单位馈赠的财物，不得要求被检查单位购买其推荐的产品，不得推荐分包单位，不得影响被检查单位的正常生产经营活动。,无对应案由,,,
安徽省建设工程安全生产管理办法第二十五条,监督检查人员应将检查的时间、地点、内容、发现的问题及其处理情况，作出书面记录，由监督检查人员和被监督检查单位的负责人或者项目负责人确认。监督检查机构及其监督检查人员负责督促被监督检查单位对检查中发现的安全隐患进行整改。监督检查情况和查处结果应当按照规定向社会公布，接受社会监督。,无对应案由,,,
安徽省建设工程安全生产管理办法第二十六条,县级以上人民政府住房和城乡建设、交通运输、水利等行政主管部门应当按照国家和省社会信用体系建设的规定，建立本行业建设工程安全生产信用信息系统，记录并依法公开市场主体的信用信息。,无对应案由,,,
安徽省建设工程安全生产管理办法第二十七条,建设工程安全事故的调查处理依照有关法律、法规和本省有关规定实施，依法及时向社会公布事故调查报告，并告知相关部门。依法需要对事故发生单位和有关人员实施行政处罚、处分的，事故调查组应当自事故调查报告批复之日起15日内，将违法违纪行为的事实、证据等相关材料，移送有处罚、处分权的机关。县级以上人民政府住房和城乡建设、交通运输、水利等行政主管部门应当做好本行政区域内建设工程安全事故的统计、报告工作，建立建设工程安全事故约谈制度，并定期发布建设工程安全生产动态。,无对应案由,,,
安徽省建设工程安全生产管理办法第二十八条,任何单位和个人对违反建设工程安全生产法律、法规和规章的行为，有权进行检举、控告。县级以上人民政府住房和城乡建设、交通运输、水利等行政主管部门对有关建设工程安全生产方面的检举、控告，应当按照规定进行调查处理，并将处理结果及时告知检举、控告的单位或者个人。,无对应案由,,,
安徽省建设工程安全生产管理办法第二十九条,县级以上人民政府住房和城乡建设、交通运输、水利等行政主管部门及其监督检查机构的监督检查人员有下列行为之一的，依法给予处分；涉嫌犯罪的，依法移送司法机关：（一）违法收取费用，或者接受被检查单位馈赠的财物的；（二）要求被检查单位购买其推荐的产品，或者推荐分包单位的；（三）发现违法行为不予查处的；（四）应当受理的检举、控告未受理，或者受理后未按照规定处理的；（五）谎报或者瞒报生产安全事故的；（六）其他玩忽职守、滥用职权、徇私舞弊的。,无对应案由,,,
安徽省建设工程安全生产管理办法第三十条,工程监理单位违反本办法第十一条第四款规定，对危险性较大的分部分项工程未实施现场监理，或者对超过一定规模的危险性较大的分部分项工程未实施旁站监理的，由县级以上人民政府住房和城乡建设、交通运输、水利等行政主管部门责令限期改正；逾期未改正的，处5000元以上10000元以下罚款，对监理人员处1000元以下罚款。,无对应案由,,,
安徽省建设工程安全生产管理办法第三十一条,施工单位负责项目管理的技术人员违反本办法第十八条规定，未告知施工班组、作业人员安全施工技术要求的，由县级以上人民政府住房和城乡建设、交通运输、水利等行政主管部门责令限期改正；逾期未改正的，处5000元以上10000元以下罚款。,无对应案由,,,
安徽省建设工程安全生产管理办法第三十二条,施工作业人员违反本办法第二十条规定，未履行规定的安全生产义务的，责令限期改正；逾期未改正的，处200元以下罚款。,无对应案由,,,
安徽省建设工程安全生产管理办法第三十三条,建设单位、勘察单位、设计单位、施工单位、工程监理单位以及其他与建设工程安全生产有关的单位，违反本办法规定，相关法律、法规作出行政处罚规定的，由县级以上人民政府住房和城乡建设、交通运输、水利等行政主管部门依照相关法律、法规实施行政处罚；涉嫌犯罪的，依法移送司法机关。,无对应案由,,,
安徽省建设工程安全生产管理办法第三十四条,乡镇人民政府及街道办事处负责村镇农民自建低层住房的安全生产管理，具体办法由市、县人民政府制定。,无对应案由,,,
安徽省建设工程安全生产管理办法第三十五条,本办法自2016年4月1日起施行。《安徽省建筑安全生产管理办法》同时废止。,无对应案由,,,
安徽省建设工程安全生产管理办法第八条,建设单位应当将建设工程发包给具有相应资质等级的勘察、设计、施工、工程监理等单位，并依照法律、行政法规的规定，在合同中明确双方的安全责任。建设单位不得对勘察、设计、施工、工程监理等单位提出不符合建设工程安全生产法律、法规和强制性标准规定的要求，不得压缩合同约定的工期。,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 建设工程勘察合同纠纷,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 建设工程设计合同纠纷,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 建设工程施工合同纠纷,合同、准合同纠纷 > 合同纠纷 > 建设工程合同纠纷 > 建设工程监理合同纠纷
安徽省建设工程安全生产管理办法第十七条,施工单位应当依法参加工伤保险，为职工缴纳工伤保险费。施工单位使用相对固定职工的，按照用人单位参加工伤保险；不能按照用人单位参保的，以建设项目为单位参加工伤保险。鼓励企业为从事危险作业的职工办理意外伤害保险，支付保险费。,劳动争议、人事争议 > 劳动争议 > 社会保险纠纷 > 工伤保险待遇纠纷,劳动争议、人事争议 > 劳动争议 > 社会保险纠纷 > 意外伤害保险待遇纠纷,,
