fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4,cause_of_action_5
芜湖市市区机动车停车场管理办法第十一条,新建、改建、扩建公共建筑、商业街区、居住区和大（中）型建筑等，建设单位应当按照规划要求，根据停车场设计规范和配建标准，配建、增建停车场，并与主体工程同步设计、同步施工、同步验收、同步交付使用。已建成的公共建筑、商业街区、居住区和大（中）型建筑未配建停车场或者配建的停车场停车泊位不足的，应当及时改建或者扩建。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第十二条,市住房和城乡建设部门应当根据城市交通发展和停车需求变化情况，定期组织开展停车资源普查，对建筑物配建停车位标准进行评估，并公布普查结果。市自然资源和规划部门应当根据建筑物配建停车位标准评估结果，适时调整停车位配建标准。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第十三条,在不影响使用功能的前提下，可以依法利用符合条件的城市广场、公园绿地等场所的地下空间建设公共停车场。利用人防工程设置停车场的，应当遵守人防工程管理相关法律、法规和规章规定。鼓励社会资本投资建设公共停车场，促进停车产业发展。鼓励建设停车楼、地下停车库、机械式立体停车设备等集约化停车设施。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第十四条,在不能满足停车需求的区域，区人民政府可以组织协调利用边角空地、中心城区功能搬迁腾出土地、待建土地、闲置收储土地和具备条件的高架桥下空间等场地设置临时公共停车场。鼓励土地使用权人利用空闲厂区、自有土地和建筑退让距离范围内的场地依法设置临时公共停车场。建设临时公共停车场应当进行场地硬化，设置相应的标志、标线，并符合相关标准；不得妨碍消防设施和市政基础设施的正常使用，不得影响道路交通安全、畅通和损害他人合法利益。住房和城乡建设、自然资源和规划、公安机关交通管理、消防救援等部门和机构应当按照职责加强对设置临时公共停车场的指导。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第十五条,在公共停车场的停车位供应不足时，城市管理部门及开发区管委会应当根据区域停车资源供求状况、道路通行条件和承载能力，在征求公安机关及相关部门意见的基础上，按照公开透明、控制总量、因时制宜、合理布局的原则，决定设置路内停车泊位，并抄告公安机关交通管理部门。设置路内停车泊位，应当符合无障碍标准，不得影响城市道路交通安全和行人、车辆的通行。设置路内停车泊位应当按照国家标准设置道路临时停车泊位标志和施划标线，明示停车规范和车辆连续停放时限。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第十六条,下列区域或者路段不得设置路内停车泊位：（一）城市主干道、快速路、匝道路面；（二）消防通道、盲道、无障碍坡道；（三）公交专用通道、人行横道；（四）交叉路口、铁路道口、急弯路、宽度不足四米的窄路、桥梁、陡坡、隧道以及距离上述地点五十米以内的路段；（五）公共汽车站、加油站、急救站、消防栓或者消防队（站）、与主干道搭接的居住小区出入口等附近三十米范围内的路段；（六）供电、通信、燃气、供水等地下管线工作井上方区域；（七）学校、幼儿园、医院出入口；（八）已建成并能够提供充足停车泊位的公共停车场周边二百米范围内；（九）宽度不符合设置路内停车泊位条件的路段；（十）法律、法规、规章和有关标准规定不得设置路内停车泊位的区域、路段。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第十七条,停车需求矛盾突出的住宅区、商业街区等，周边道路具备节假日、夜间等时段性停车条件的，可以施划时段性路内停车泊位，并设置标志，明示停车时段。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第十八条,公安机关交通管理部门应当会同城市管理部门对施划设置路内停车泊位的路段定期进行评估、调整。有下列情形之一的，城市管理部门及开发区管委会应当撤除路内停车泊位：（一）道路交通状况发生变化，设置的路内停车泊位影响车辆、行人正常通行的；（二）道路周边的公共停车场已经能够满足停车需求的；（三）因城市基础设施建设或者其他公共项目建设需要的；（四）法律、法规、规章规定的其他情形。撤除路内停车泊位应当提前七日向社会公告，并及时清除停车标志标线，恢复原状。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第十九条,政府投资建设的停车场应当依法确定经营主体，所得收入按照有关规定用途使用。非政府投资建设的停车场由所有人或者其委托的经营管理者负责日常运营、维护和管理。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第二十条,停车场向公众提供停车服务并收取费用的，其经营管理者应当依法办理市场主体、税务登记，并在投入使用后十五日内，持下列材料向所在区城市管理部门办理备案手续：（一）经营管理者基本信息；（二）停车场方位图和平面图；（三）合法使用场地的相关材料；（四）开放停车泊位数量、类型和有关设施设备清单；（五）开放服务时间、收费方式和标准、服务和投诉电话等；（六）经营服务及安全等管理制度和突发事件应急预案；（七）法律、法规、规章规定的其他资料。备案事项发生变更的，经营管理者应当自变更之日起十五日内办理变更备案。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第二十一条,市人民政府应当组织有关单位建立全市统一的智慧停车信息化管理系统，收集、整合全市停车场信息，对停车场信息实行动态更新，无偿向社会公众提供停车场分布位置、泊位数量、使用状况、收费标准等信息。停车场向公众提供停车服务并收取费用的，其经营管理者应当将停车场实时信息接入统一的智慧停车信息管理系统，推进智慧停车，提高停车设施利用率。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第二十二条,停车服务收费按照国家有关规定实行政府定价和市场调节价。实行政府定价的停车场，由市发展和改革部门依据定价权限，结合区域位置、停车资源供求状况、经营成本等因素，按照核心区高于外围区、路内停车高于路外停车、地面停车高于地下停车、高峰时段高于空闲时段等原则，确定差异化的停车服务收费标准。实行市场调节价的，由停车场经营管理者根据市场供求和竞争状况，依法自主制定收费标准。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第二十三条,机关、企事业单位配建的停车场在满足自用和加强安全管理的前提下，在非工作时间可以错时向社会开放。鼓励商业设施、写字楼、旅游景区、体育场馆等配建的停车场在空闲时段向社会开放。市城市管理部门应当建立停车资源共享利用协调机制，加强对错时停车工作的指导，实现区域停车资源开放共享。鼓励实行政府定价的停车场在春节、国庆节等重大节假日以及中考、高考和重要社会活动期间，向社会免费开放。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第二十四条,向公众提供停车服务并收取费用的停车场经营管理者应当遵守下列规定：（一）按照规定设置停车场标志牌等设施，在停车场出入口、缴费地点等显著位置设置明码标价公示牌，公示收费主体、收费标准、免费时间、服务及投诉电话等信息；（二）按照有关规定和标准配套建设停车场出入口自动道闸、车位监测、停车诱导等智能化停车设施设备；（三）做好停车场日常管理和养护工作，保持场内交通标志、标线清晰、准确、完好，确保各类设施设备正常运行；（四）配备相应的管理人员，维护车辆停放秩序和环境卫生；（五）按照核定或者公示的价格收费，并出具合法票据；（六）法律、法规、规章的其他规定。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第二十五条,在停车场停放车辆应当遵守下列规定：（一）服从工作人员指挥或者停车诱导系统指示，按照车位标志、标线等有序停放车辆；（二）按照标准支付车辆停放服务费用；（三）不得停放装载易燃、易爆、有毒、有害等危险物品或者其他违禁物品的机动车；（四）不得非法占用无障碍停车位；（五）不得擅自占用他人的停车泊位；（六）法律、法规和规章关于机动车停放的其他规定。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第二十六条,任何单位和个人不得有下列行为：（一）在绿化带、消防车通道、停车场出入口和未设置停车泊位的人行道停放车辆；（二）擅自设置、撤除路内停车位和涂改路内停车泊位标志、标线；（三）故意损坏停车设备、设施；（四）在无专属使用权的停车泊位上设置地桩、地锁以及其他障碍物阻碍车辆停放；（五）将车辆遗弃在公共停车场或者路内停车泊位；（六）法律、法规和规章禁止的其他行为。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第二十八条,在不改变用地性质、不减少停车场车位的前提下，独立建设的公共停车场可以配建不超过总建筑面积百分之十五的洗车点、便利店等便民设施，并不得分割转让、出售。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第二十九条,市城市管理部门应当会同相关部门指导停车场经营管理者制定运营服务规范等制度，规范停车场运营服务，依法开展信用评价，建立停车场管理联动机制，对停车场规划、建设、使用和监督管理信息实行互通共享。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第三十条,违反本办法第二十条规定，未向城市管理部门办理备案手续的，由城市管理部门责令限期改正；逾期未改正的，处一千元以上五千元以下罚款。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第三十一条,违反本办法第二十一条第二款规定，向公众提供停车服务并收取费用的停车场经营管理者未如实将停车场实时信息接入全市统一的智慧停车信息管理系统的，由城市管理部门责令限期改正；逾期未改正的，处两千元以上一万元以下罚款。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第三十二条,违反本办法第二十六条第二项规定，擅自设置、撤除路内停车泊位的，由公安机关交通管理部门责令改正，并按照擅自设置、撤除停车泊位的数量，每个泊位处以五百元的罚款，最高不超过五千元。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第三十三条,有关部门及其工作人员违反本办法规定，在停车场规划、建设和管理工作中玩忽职守、徇私舞弊、滥用职权的，依法给予处分；涉嫌犯罪的，移送司法机关处理。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第三十四条,违反本办法的行为，法律、法规已有处罚规定的，从其规定；符合《中华人民共和国行政处罚法》中不予行政处罚、从轻或者减轻行政处罚规定的，依照其规定执行。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第三十五条,本办法施行前已经投入运行的向公众提供停车服务并收取费用的停车场，其经营管理者应当自本办法实施之日起三十日内向所在区城市管理部门办理备案。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第三十六条,无为市、南陵县停车场管理，可以参照本办法执行。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第三十七条,本办法自2024年10月1日起施行。,无对应案由,,,,
芜湖市市区机动车停车场管理办法第二十七条,任何单位和个人不得擅自改变规划确定的建筑物配建停车场和独立建设的公共停车场的用途。确需改变的，应当充分听取公众意见，报原审批机关批准，并向社会公布。原审批机关批准后应当抄告城市管理部门。已经投入使用向公众提供停车服务并收取费用的停车场不得擅自停止使用。确需停止使用的，经营管理者应当在停止使用十五日前向社会公告，并书面告知区城市管理部门。,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,合同、准合同纠纷 > 合同纠纷 > 服务合同纠纷 > 停车服务合同纠纷,物权纠纷 > 用益物权纠纷 > 建设用地使用权纠纷,物权纠纷 > 物权保护纠纷 > 排除妨害纠纷,物权纠纷 > 物权保护纠纷 > 消除危险纠纷
