fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3
六安市电梯安全监督管理暂行办法第十一条,电梯采购人应当将电梯的产品性能、部件配置、技术保障水平、售后服务能力、质量保证承诺以及信用评价等作为电梯采购内容。依法采用招标或者其他政府采购方式采购电梯的，公共资源交易监管部门在办理招标、采购文件备案时，应当督促招标人或采购人将前款相关信息纳入电梯招标、采购评审内容。,无对应案由,,
六安市电梯安全监督管理暂行办法第十二条,电梯的安装、改造、修理，必须由制造单位或者其委托的依法取得相应许可的单位进行。电梯制造单位委托其他单位进行电梯安装、改造、修理的，应当对其安装、改造、修理进行安全指导和监控，并按照安全技术规范的要求进行校验和调试。电梯制造单位对电梯安全性能负责。制造单位已经注销或者不再具有相应许可资格的，电梯使用单位经所有权人同意可以委托具有相应许可资格的单位进行改造、修理。受委托单位对电梯质量安全负责，并向电梯使用单位提供电梯改造、修理的技术资料。改造单位应当更换电梯产品铭牌，并承担电梯制造单位的义务。,无对应案由,,
六安市电梯安全监督管理暂行办法第十三条,电梯安装、改造、修理单位应当在施工前，编制施工方案，落实安全防护措施等现场安全生产条件，检查电梯机房、井道、底坑等土建工程是否符合国家标准及设计要求。不符合要求的，不得进行施工，并及时向住房城乡建设行政主管部门书面报告，同时抄送特种设备安全监督管理部门。电梯安装、改造、修理单位应当在施工前将拟进行的安装、改造、修理情况书面告知市特种设备安全监督管理部门。电梯检验机构应当按照安全技术规范的要求，对电梯的安装、改造、重大修理进行监督检验；未经监督检验或者监督检验不合格的，不得交付使用。,无对应案由,,
六安市电梯安全监督管理暂行办法第十五条,电梯投入使用前，应当依照《安徽省电梯安全监督管理办法》等有关规定确定电梯使用单位，不得投入使用。未确定电梯使用单位的电梯，不得投入使用。,无对应案由,,
六安市电梯安全监督管理暂行办法第十六条,电梯使用单位为电梯安全使用管理的责任主体，对电梯安全使用管理负责，履行下列安全管理义务：（一）制定和执行电梯安全管理制度，按照“一梯一档”的要求建立电梯安全技术档案；（二）依法办理电梯使用登记，电梯使用单位发生变更时，原使用单位和现使用单位应当对电梯质量安全状况进行确认，完善交接手续，做好电梯安全技术档案、钥匙等资料和物品的交接，现使用单位应当自变更之日起三十日内到特种设备安全监督管理部门办理变更登记；（三）设置电梯安全管理机构或者配备取得特种设备作业人员证书的电梯安全管理人员，并定期组织人员培训；（四）在电梯的显著位置张贴有效的特种设备使用标志、安全注意事项、警示标志等；（五）保证电梯安全运行的通风、温度、湿度、照度等符合要求，不得在电梯轿厢、机房、井道内安装或者放置影响电梯安全运行的设施和物品，保持电梯紧急报警装置二十四小时有效应答紧急呼救；（六）电梯出现故障、发生异常情况或者存在安全隐患时，应当立即停止使用、设置警示标志，并及时组织修复，电梯需要停止运行超过二十四小时的，应当公告停止运行的原因和所需时间，住宅电梯不得长期无故停用；（七）电梯发生乘客被困故障时，及时采取措施，并立即通知电梯维护保养单位到场救援；（八）按照安全技术规范要求，申请定期检验、检测；（九）委托取得相应许可的单位进行电梯维护保养，与维护保养单位签订书面合同，约定维护保养的期限、要求以及双方的权利义务，及时落实电梯维护保养单位发出的电梯停止使用通知和隐患整改建议；（十）运载装修材料、装修垃圾以及容易造成电梯损坏的家具、家用电器等物品的，应当采取有效的安全防护措施或者安排人员进行现场管理，对电梯轿厢内部进行装修，应当符合电梯安全性能要求；（十一）筹集电梯日常运行维护、检验、检测等费用；（十二）法律、法规、规章以及安全技术规范规定的其他安全管理职责。,无对应案由,,
六安市电梯安全监督管理暂行办法第十七条,电梯安全管理人员履行下列职责：（一）进行电梯运行的日常巡查，做好电梯运行和管理的各项记录，妥善保管电梯专用钥匙、机房钥匙及安全提示牌；（二）对电梯安装、改造、修理和维护保养工作进行监督，协助落实现场安全防护措施，对维护保养单位的维护保养记录签字确认；（三）发现电梯运行存在事故隐患时，立即停止使用，并报告单位负责人；（四）接到电梯故障报警后，立即报告并赶赴现场，组织电梯修理作业人员实施救援；（五）规劝、制止乘客破坏电梯设施及违反规定使用电梯的行为；（六）法律、法规、规章以及安全技术规范规定的其他安全职责。,无对应案由,,
六安市电梯安全监督管理暂行办法第十九条,乘用电梯应当文明有序，自觉遵守安全使用说明和安全注意事项要求，不得实施下列行为：（一）违反电梯安全警示要求操作电梯，长时间强制开门，或者采用非正常手段开启电梯层门、轿厢门；（二）乘用明示停止使用或者处于非正常状态下的电梯；（三）毁坏或者拆除特种设备使用标志、电梯安全警示标志或者电梯部件及其附属设施；（四）运载超过核定载重量的货物或者乘用超载电梯；（五）在电梯内嬉戏、打闹、蹦跳或者在自动扶梯、自动人行道上攀爬、玩耍、逆行；（六）其他危及人身安全或者电梯安全运行的行为。,无对应案由,,
六安市电梯安全监督管理暂行办法第二十条,电梯的维护保养应当由电梯制造单位或者依法取得许可的安装、改造、修理单位进行。电梯维护保养单位，应当在本市行政区域内设置固定的办公场所，配备相应数量的持有特种设备人员证书的作业人员、必要的仪器设备、备品备件和交通工具。电梯维护保养单位应当在本市首份维护保养合同签订之日起三十日内，将单位名称、主要负责人、许可信息、办公场所、持证作业人员、联系电话（应急救援电话）以及所维护保养电梯的使用单位、电梯数量、维护保养责任人姓名及联系方式等信息报县（区）特种设备安全监督管理部门备案。相关信息发生变更的，应当自变更之日起三十日内变更备案。,无对应案由,,
六安市电梯安全监督管理暂行办法第二十一条,电梯维护保养单位应当严格执行安全技术规范的要求，保证其维护保养电梯的安全性能，负责落实现场安全防护措施，保证施工安全，并履行下列义务：（一）制定维护保养计划与方案；（二）在维护保养期间采取围蔽、警示等安全防护措施，并在电梯显著位置公示维护保养信息；（三）发现电梯存在事故隐患，及时告知电梯使用单位，并提出整改建议，存在严重事故隐患的，立即向电梯所在地特种设备安全监督管理部门报告；（四）建立日常维护保养和故障处置记录，及时归入电梯安全技术档案；（五）对维护保养作业人员进行安全教育和技能培训；（六）协助电梯使用单位制定应急救援预案并定期演练，公布应急救援电话，实行二十四小时值班制度，接到电梯故障或者事故报告后，在规定时间内抵达现场，并实施救援；（七）法律、法规、规章以及安全技术规范规定的其他职责。,无对应案由,,
六安市电梯安全监督管理暂行办法第二十二条,公众聚集场所的电梯、使用年限超过十五年的电梯、故障频发且投诉较多的电梯和日常监督管理过程中发现问题较多的电梯，使用单位和维护保养单位应当根据电梯运行的实际情况，增加维护保养频次和项目。,无对应案由,,
六安市电梯安全监督管理暂行办法第二十三条,电梯维护保养单位不得将业务分包、转包。电梯维护保养单位不得以恶意低价、商业贿赂等不正当竞争手段获取维护保养业务，降低维护保养质量，影响电梯安全。电梯维护保养单位不得采用更改软件程序、变动硬件设施等方式设置技术障碍，或者将不符合电梯安全技术规范规定的部件用于电梯维护保养，影响电梯正常运行。,无对应案由,,
六安市电梯安全监督管理暂行办法第二十四条,电梯使用单位应当按照安全技术规范的要求，在检验合格有效期届满前一个月向电梯检验机构提出定期检验要求。电梯使用单位应当按照相关规定，向电梯检测机构提出定期检测要求。,无对应案由,,
六安市电梯安全监督管理暂行办法第二十五条,电梯检验、检测机构接到检验、检测申请之日起十日内应当安排检验、检测，并在检验、检测后十日内出具电梯检验、检测报告。电梯检验、检测机构应当将检验、检测不合格的电梯情况告知县（区）特种设备安全监督管理部门，由县（区）特种设备安全监督管理部门依法处理。电梯检验、检测机构完成在用电梯现场检验、检测工作后，不能在上次检验、检测合格有效期届满前出具检验、检测报告的，应当对检验、检测报告发出之前该电梯能否继续使用提出书面意见。,无对应案由,,
六安市电梯安全监督管理暂行办法第二十六条,电梯检验、检测机构发现电梯有下列情形之一的，应当立即向县（区）特种设备安全监督管理部门报告：（一）未进行使用登记的；（二）未与维护保养单位签订维护保养合同的；（三）维护保养单位未按照安全技术规范的要求，对所维护保养的电梯提供维护保养记录及定期自检记录报告的。,无对应案由,,
六安市电梯安全监督管理暂行办法第二十七条,电梯使用单位发现电梯有下列情形之一的，可以委托取得电梯检验、检测许可的机构或者电梯制造单位进行安全评估：（一）故障频率高、影响正常使用或者存在严重事故隐患的；（二）曾受水灾、火灾、雷击、地震等灾害的；（三）使用年限超过十五年的；（四）主要部件达到设计使用年限或者次数的；（五）其他需要进行安全评估的。电梯经安全评估后，使用单位应当将评估结论张贴在电梯轿厢内或者出入口处的显著位置，并依据评估结论确定继续使用或者进行修理、改造、更新。继续使用的，使用单位应当采取加强检验、检测和维护保养等措施，确保使用安全。,无对应案由,,
六安市电梯安全监督管理暂行办法第二十八条,市、县（区）人民政府应当建立电梯安全应急处置机制，纳入本地应急处置与救援体系，依托电梯安全信息化监管系统，整合电梯使用单位、维护保养单位、消防救援部门以及社会救援组织等力量，统一协调指挥电梯应急救援工作。电梯维护保养单位接受调度指令，对非本单位维护保养的电梯进行救援的，特种设备安全监督管理部门给予适当的补贴。,无对应案由,,
六安市电梯安全监督管理暂行办法第二十九条,特种设备安全监督管理部门应当制定电梯事故应急预案。电梯使用单位、维护保养单位应当根据特种设备安全监督管理部门电梯事故应急预案，制定本单位电梯事故应急专项预案，按照安全技术规范要求定期进行演练。,无对应案由,,
六安市电梯安全监督管理暂行办法第三十条,乘客被困电梯时，按照下列程序处置：（一）电梯使用单位应当立即组织人员赶赴现场，安抚被困乘客，同时通知电梯维护保养单位赶赴现场救援；（二）电梯维护保养单位应当在规定时限内赶赴现场，按照安全技术规范要求采取有效措施解救被困乘客，并查明电梯故障原因，排除故障，做好记录并存档；（三）电梯维护保养单位无法按时到达现场或者到现场后无法实施救援的，特种设备安全监督管理部门应当迅速指派其他电梯维护保养单位等应急救援联动队伍赶赴现场实施救援；特殊情形的，由消防救援部门共同实施救援。,无对应案由,,
六安市电梯安全监督管理暂行办法第三十一条,特种设备安全监督管理部门应当按照法律、法规、规章的规定，对电梯的生产、经营、使用、维护保养单位和检验、检测机构实施监督检查。特种设备安全监督管理部门应当对下列电梯实施重点安全监督检查：（一）公众聚集场所的；（二）近两年发生过电梯安全事故的；（三）超高层建筑的；（四）投入使用超过十五年的；（五）故障频率高或者收到投诉多的；（六）其他特种设备安全监督管理部门认为有必要实施重点监督检查的。,无对应案由,,
六安市电梯安全监督管理暂行办法第三十二条,特种设备安全监督管理部门应当每年制定计划，委托第三方对电梯安装、改造、修理、维护保养、检验、检测的质量实施监督抽查，并及时向社会通报。,无对应案由,,
六安市电梯安全监督管理暂行办法第三十三条,特种设备安全监督管理部门按照规定，会同发展和改革部门加强电梯安全领域的诚信体系建设，对电梯安装、改造、修理、维护保养单位和检验、检测机构进行信用评价。,无对应案由,,
六安市电梯安全监督管理暂行办法第三十四条,特种设备安全监督管理部门应当建立电梯安全信息化监管系统，运用大数据、物联网等信息技术，采集、统计、分析电梯故障等有关数据，及时发布预警信息。电梯安装、改造、修理、使用、维护保养单位和检验、检测机构，应当按照要求提供相关数据，并积极运用信息化手段加强电梯安全管理。,无对应案由,,
六安市电梯安全监督管理暂行办法第三十五条,违反本办法规定，《中华人民共和国特种设备安全法》、国务院《特种设备安全监察条例》和《安徽省电梯安全监督管理办法》等法律、法规、规章已有处罚规定的，从其规定。,无对应案由,,
六安市电梯安全监督管理暂行办法第三十六条,建设单位违反本办法第九条第一款第三项的规定，在本办法实施后新安装的电梯，机房未安装空气调节器等通风、降温设施的，由特种设备安全监督管理部门责令限期改正；逾期未改正的，处五千元以上一万元以下罚款。,无对应案由,,
六安市电梯安全监督管理暂行办法第三十七条,违反本办法第十条第二款规定，在本办法实施后公众聚集场所新安装的电梯，未按照要求配备应急电源或者断电应急平层装置的，由特种设备安全监督管理部门责令限期改正；逾期未改正的，处五千元以上一万元以下的罚款。,无对应案由,,
六安市电梯安全监督管理暂行办法第三十八条,电梯维护保养单位违反本办法第二十一条第一项至第六项规定的，由特种设备安全监督管理部门责令改正，处以一万元以上十万元以下罚款。,无对应案由,,
六安市电梯安全监督管理暂行办法第三十九条,本办法自2021年3月1日起施行。,无对应案由,,
六安市电梯安全监督管理暂行办法第十四条,商品房开发单位销售或预售房屋时，应当在商品房销售或预售合同附件中注明商品房安装电梯的数量、品牌及主要参数等信息。,合同、准合同纠纷 > 合同纠纷 > 房屋买卖合同纠纷 > 商品房预售合同纠纷,合同、准合同纠纷 > 合同纠纷 > 房屋买卖合同纠纷 > 商品房销售合同纠纷,
六安市电梯安全监督管理暂行办法第十八条,住宅小区电梯经检验、检测、安全技术评估需要修理、改造、更新的，使用单位和业主委员会应当及时组织落实，所需资金按照以下方式筹集：（一）已缴存物业专项维修资金的，按照有关规定在物业专项维修资金中列支；（二）未缴存物业专项维修资金、物业专项维修资金不足或者不符合物业专项维修资金使用条件的，业主对费用承担有约定的，按照约定执行；没有约定或者约定不明的，由相关业主共同承担。不能达成一致意见的，所在地乡（镇）人民政府、街道办事处应当组织业主委员会、业主代表、使用单位共同商议确定。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,物权纠纷 > 物权保护纠纷 > 财产损害赔偿纠纷
