fullClauseName,text,cause_of_action_1,cause_of_action_2
安徽省矿产资源储量管理办法第十二条,自然资源主管部门对符合下列条件的矿产资源储量评审，应当自收到备案申请之日起15日内，向矿产资源储量评审机构出具备案证明，同时抄送委托矿产资源储量评审的探矿权人、采矿权人或者采矿权申请人，并报上一级人民政府自然资源主管部门：（一）矿产资源储量评审机构和评审专家具有相应的资格；（二）评审标准、程序符合国家有关规定。,无对应案由,
安徽省矿产资源储量管理办法第十三条,矿产资源开发利用规划、矿山设计、矿业投资和探矿权、采矿权出让、转让评估，应当依据经自然资源主管部门备案的矿产资源储量评审意见书。,无对应案由,
安徽省矿产资源储量管理办法第十四条,下列矿产资源储量应当登记：（一）探矿权人勘查获得的矿产资源储量，应当自收到矿产资源储量评审备案证明之日起30日内，到矿产资源储量评审备案的自然资源主管部门办理探明登记；（二）采矿权申请人需占用的矿产资源储量，应当在办理采矿许可证之前，到矿产资源储量评审备案的自然资源主管部门办理占用登记；（三）采矿权人占用的矿产资源储量发生重大变化或者变更矿区范围后重新计算的，应当自收到矿产资源储量评审备案证明之日起30日内，到原矿产资源储量登记机关办理变更登记；（四）建设铁路、公路、工厂、水库、输油管道、输电线路和各种大型建筑物或者建筑群，需要压覆重要矿产资源储量的，建设单位应当自国务院授权部门批准之日起30日内，到省人民政府自然资源主管部门办理压覆登记；（五）在采矿许可证有效期间停办或者关闭矿山的，尚未采尽或者准备注销的矿产资源储量，采矿权人应当自收到矿产资源储量评审备案证明之日起30日内，到矿产资源储量评审备案的自然资源主管部门办理残留登记或者注销登记。,无对应案由,
安徽省矿产资源储量管理办法第十五条,申请矿产资源储量登记，应当按照下列规定提交有关材料：（一）矿产资源储量登记书；（二）矿产资源储量评审（审查）意见书；（三）矿产资源储量（评估）报告及主要附图、附表、附件。除提交前款规定的资料外，探矿权人、采矿权人还应当同时提交勘查许可证或者采矿许可证复印件；压覆重要矿产资源的建设单位还应当同时提交自然资源部或者省自然资源主管部门同意压覆重要矿产资源的批准文件。,无对应案由,
安徽省矿产资源储量管理办法第十六条,勘查探明的矿产资源储量经登记后，探矿权人依法享有优先取得该矿产资源储量采矿权的权利。采矿权人占用的矿产资源储量经登记后，作为采矿权人占用矿产资源储量的依据。建设项目压覆的矿产资源储量经登记后，自然资源主管部门不得再受理压覆范围内矿产资源储量开采申请。,无对应案由,
安徽省矿产资源储量管理办法第十八条,采矿权人登记占用矿产资源储量的规模应当与开采规模相适应，不得将完整矿床（体）分割开采。,无对应案由,
安徽省矿产资源储量管理办法第十九条,探矿权人、采矿权人应当按照国家规定如实提供年度矿产资源储量统计资料。采矿权人应当对其年度开采、损失以及因各种原因增加、减少的矿产资源储量进行检测和统计，向县级以上地方人民政府自然资源主管部门报送年度矿产资源储量统计资料。,无对应案由,
安徽省矿产资源储量管理办法第二十条,市、县人民政府自然资源主管部门应当对本行政区域内矿产资源储量进行年度核查统计，编制本行政区域矿产资源储量表，并将统计资料按照程序报省人民政府自然资源主管部门。省人民政府自然资源主管部门应当汇总全省矿产资源储量统计资料，并按规定发布全省矿产资源储量的统计信息。,无对应案由,
安徽省矿产资源储量管理办法第二十一条,县级以上地方人民政府自然资源主管部门应当对矿产资源储量的利用情况进行监督检查。,无对应案由,
安徽省矿产资源储量管理办法第二十二条,探矿权人、采矿权人或者采矿权申请人提供虚假材料进行矿产资源储量评审的，评审意见无效；造成损失的，应当予以赔偿。,无对应案由,
安徽省矿产资源储量管理办法第二十三条,有下列情形之一的，评审意见无效，由县级以上地方人民政府自然资源主管部门对矿产资源储量评审机构处以1万元以上3万元以下的罚款，对评审专家处以5000元以上1万元以下的罚款，并可以提请颁发评审资格的部门吊销其评审资格：（一）矿产资源储量评审机构组织不具有评审资格的人员评审的；（二）矿产资源储量评审机构要求评审专家出具虚假评审意见的；（三）评审专家违反国家规定的评审标准、程序进行矿产资源储量评审的。,无对应案由,
安徽省矿产资源储量管理办法第二十四条,矿产资源储量评审机构和评审专家将评审材料向外借阅、复制和用于其他有偿服务的，由县级以上地方人民政府自然资源主管部门责令改正，并可以提请颁发评审资格的部门吊销其评审资格；造成损失的，应当予以赔偿。,无对应案由,
安徽省矿产资源储量管理办法第二十五条,未按本办法规定登记矿产资源储量或者擅自更改已登记的矿产资源储量的，由县级以上地方人民政府自然资源主管部门责令限期改正；逾期不改的，处以1万元以上3万元以下的罚款。,无对应案由,
安徽省矿产资源储量管理办法第二十六条,违反本办法规定，建设项目擅自压覆重要矿产资源储量的，由县级以上地方人民政府自然资源主管部门责令改正；造成损失的，应当予以赔偿。,无对应案由,
安徽省矿产资源储量管理办法第二十七条,违反本办法规定，拒报、虚报、瞒报、伪造矿产资源储量统计资料的，由县级以上地方人民政府自然资源主管部门责令限期改正；逾期不改的，按统计法律、法规的有关规定予以处罚。,无对应案由,
安徽省矿产资源储量管理办法第二十八条,自然资源主管部门及其工作人员有下列情形之一的，依法给予行政处分；构成犯罪的，依法追究刑事责任：（一）对不符合本办法规定的矿产资源储量评审出具备案证明的；（二）未按照本办法规定办理矿产资源储量登记的；（三）在矿产资源储量统计工作中弄虚作假的；（四）有其他滥用职权、徇私舞弊、玩忽职守情形的。,无对应案由,
安徽省矿产资源储量管理办法第二十九条,本办法自2004年9月1日起施行。,无对应案由,
安徽省矿产资源储量管理办法第十七条,建设项目经批准压覆探矿权人勘查获得的或者采矿权人占用的重要矿产资源储量的，建设单位应当与探矿权人、采矿权人签订补偿协议，并报批准压覆的自然资源主管部门备案。,合同、准合同纠纷 > 合同纠纷 > 探矿权转让合同纠纷,合同、准合同纠纷 > 合同纠纷 > 采矿权转让合同纠纷
