fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4
安徽省物业专项维修资金管理暂行办法第三十二条,公有住房出售后物业专项维修资金的交存、使用和管理办法，由省人民政府另行制定。本办法施行前，没有交存物业专项维修资金的，应当按照原规定的标准补交，具体办法由市、县人民政府制定。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第三十四条,本办法所称物业共用部位，是指房屋主体承重结构部位（包括基础、内外承重墙体、柱、梁、楼板、屋顶等）、户外墙面、门厅、楼梯间、走廊通道等。本办法所称物业共用设施设备，是指物业管理区域内建设费用已分摊进入房屋销售价格的共用上下水管道、落水管、水箱、加压水泵、电梯、天线、照明、锅炉、消防、绿地、道路、路灯、渠、池、湖、井、露天广场、非经营性车场车库、公益性文体器械与场所及其使用的房屋等。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第三十五条,本办法自2007年1月1日起施行。,无对应案由,,,
安徽省物业专项维修资金管理暂行办法第二条,本办法适用于本省行政区域内物业专项维修资金的交存、管理、使用和监督。本办法所称物业专项维修资金，是指业主交存的专项用于物业保修期满后物业共用部位、共用设施设备的维修和更新、改造的资金。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,
安徽省物业专项维修资金管理暂行办法第三条,住宅物业、住宅小区内的非住宅物业或者与单幢住宅楼结构相连的非住宅物业的业主，应当按照本办法规定交存物业专项维修资金。业主交存的物业专项维修资金属业主所有。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,
安徽省物业专项维修资金管理暂行办法第六条,首次物业专项维修资金，由业主以购房款总额为基数，分别按照下列比例交存：（一）未配备电梯的，按照不超过1%的比例交存；（二）配备电梯的，按照不超过2%的比例交存。建设单位自用、出租的住宅物业或者与住宅楼结构相连的非住宅物业，未配备电梯的，由建设单位按照不超过同期同类商品房售房价款1%的比例交存；配备电梯的，按照不超过2%的比例交存。住宅小区内与住宅楼结构不相连的非住宅物业，按照不超过购房款总额或者同期同类商品房售房价款1%的比例交存。业主交存首次物业专项维修资金的具体比例，由设区的市人民政府确定。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,
安徽省物业专项维修资金管理暂行办法第七条,首次物业专项维修资金，由业主在办理物业权属登记时向所在地市、县人民政府房地产行政主管部门交存。建设单位自用、出租的物业，其首次物业专项维修资金，由建设单位在办理物业权属登记时向所在地市、县人民政府房地产行政主管部门交存。违反前款规定，业主未交存物业专项维修资金的，市、县人民政府房地产行政主管部门不予办理物业权属登记。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,,
安徽省物业专项维修资金管理暂行办法第九条,一幢房屋的物业专项维修资金余额低于首次交存的物业专项维修资金30%时，该幢房屋的业主应当续筹物业专项维修资金。业主续筹物业专项维修资金有困难的，经所在单位证明，可由业主及其配偶申请提取其个人住房公积金账户内的存储余额。物业专项维修资金续筹的标准和方案由业主委员会拟定，提交业主大会决定后，由业主委员会具体实施。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,物权纠纷 > 用益物权纠纷 > 居住权纠纷,
安徽省物业专项维修资金管理暂行办法第十条,利用物业共用部位、共用设施设备进行经营的收益，在扣除物业服务企业代办费用后，应当将业主所得收益30%用于补贴物业管理公共服务费，70%纳入物业专项维修资金，在物业管理区域内统筹使用，但业主大会另作决定的除外。前款规定的物业服务企业代办费用，由业主委员会和物业服务企业在物业服务合同中约定。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,物权纠纷 > 所有权纠纷 > 业主共有权纠纷,
安徽省物业专项维修资金管理暂行办法第十二条,业主大会成立后，业主委员会应当到所在地市、县人民政府房地产行政主管部门查询所在物业管理区域内交存物业专项维修资金的业主名单和金额，并在物业管理区域内公示。业主未交存物业专项维修资金的，业主委员会应当督促其交存。逾期仍未交存的，业主委员会可以向人民法院起诉。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,
安徽省物业专项维修资金管理暂行办法第十四条,物业专项维修资金在保证正常使用的前提下，经业主大会决定，业主委员会可以委托所在地市、县人民政府房地产行政主管部门按照国家规定购买一级市场国债。物业专项维修资金购买国债的增值部分，扣除财政部门核定的管理费用外，应当纳入物业专项维修资金，在物业管理区域内统筹使用。禁止任何单位和个人挪用物业专项维修资金及增值部分。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 业主共有权纠纷,物权纠纷 > 物权保护纠纷 > 财产损害赔偿纠纷,侵权责任纠纷 > 侵权责任纠纷 > 财产损害赔偿纠纷
安徽省物业专项维修资金管理暂行办法第十七条,物业专项维修资金的使用范围包括：（一）物业共用部位维修工程1．主体承重结构部位损坏，需要拆换、加固的；2．户外墙面因损坏需要重新进行防水或者保温层施工的；3．整幢楼外檐面层脱落达到整幢楼外檐面积30%以上，需要修缮的；4．整幢楼或者单元共用部位地面面层、门窗及楼梯扶手等因破损需要整体修缮的；5．经具有共有关系的业主专有部分占建筑物总面积2/3以上且占总人数2/3以上同意使用物业专项维修资金的其他维修工程。（二）物业共用设施设备维修、更新、改造工程1．物业管理区域内路面破损30%以上，需要整体修复的；2．整幢楼或者单元上下水管道、落水管等老化、损坏，需要更新、改造的；3．智能化系统、消防控制系统等需要整体更新、改造或者更换、维修主要部件，一次性费用超过原造价20%的；4．电梯需要整体更新或者更换、维修主要部件，一次性费用超过电梯原造价20%的；5．二次供水及消防水泵等因损坏，需要更新、改造的；6．物业管理区域内的围墙、大门等因损坏，需要整体修缮、更新的；7．经具有共有关系的业主专有部分占建筑物总面积2/3以上且占总人数2/3以上同意使用物业专项维修资金的其他维修、更新、改造工程。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,,
安徽省物业专项维修资金管理暂行办法第十八条,物业管理的下列费用，按照下列规定承担，不得从物业专项维修资金中列支：（一）物业共用部位、共用设施设备的日常运行、维护费用，由物业服务企业从业主交存的物业服务费中支出；（二）物业在保修范围和保修期限内发生质量问题需要维修的费用，由建设单位承担；（三）物业管理区域内供水、供电、供气、供热、通讯、有线电视等相关管线和设施设备的维修、养护费用，由有关单位依法承担；（四）物业共用部位、共用设施设备属人为损坏的，其维修、更新费用由责任人承担。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 业主共有权纠纷,物权纠纷 > 物权保护纠纷 > 财产损害赔偿纠纷,物权纠纷 > 物权保护纠纷 > 恢复原状纠纷
安徽省物业专项维修资金管理暂行办法第十九条,使用物业专项维修资金应当遵循下列程序：（一）实施物业管理并已经成立业主大会，对全体业主共有的物业共用部位、共用设施设备进行维修和更新、改造的，由业主委员会按照年度提出物业专项维修资金使用计划，经专有部分占建筑物总面积2/3以上的业主且占总人数2/3以上的业主通过后实施；对部分业主共有的物业共用部位、共用设施设备进行维修和更新、改造的，由业主委员会按照年度提出物业专项维修资金使用计划，经具有共有关系的业主专有部分占建筑物总面积2/3以上且占总人数2/3以上通过后实施；（二）实施物业管理但尚未成立业主大会的，由物业服务企业按照年度提出物业专项维修资金使用计划，经对该物业共用部位、共用设施设备具有共有关系的业主专有部分占建筑物总面积2/3以上通过后实施；（三）未实施物业管理的，由物业所在区域居民委员会组织对该物业共用部位、共用设施设备具有共有关系的业主提出物业专项维修资金使用计划，经具有共有关系的业主专有部分占建筑物总面积2/3以上且占总人数2/3以上通过后实施。物业专项维修资金使用计划，应当在物业管理区域内公示5日后，方可表决。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,物权纠纷 > 所有权纠纷 > 业主撤销权纠纷,物权纠纷 > 所有权纠纷 > 业主知情权纠纷
安徽省物业专项维修资金管理暂行办法第二十条,发生危及物业安全以及影响物业正常使用等紧急情况，需要立即对物业共用部位、共用设施设备进行维修和更新、改造的，由业主委员会、物业服务企业或者居民委员会提出物业专项维修资金使用方案，经所在地市、县人民政府房地产行政主管部门审核后，预先从物业专项维修资金中拨付，再按照本办法第十九条规定的程序补办有关手续。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,物权纠纷 > 物权保护纠纷 > 恢复原状纠纷,
安徽省物业专项维修资金管理暂行办法第二十一条,物业维修和更新、改造费用按照下列规定列支：（一）用于物业管理区域内共用设施设备维修和更新、改造的，由全体业主按照其所有的物业建筑面积比例承担，并从业主交存的物业专项维修资金中列支；（二）用于整幢楼或者单元本体共用部位、共用设施设备维修和更新、改造的，由整幢楼或者单元业主按照其所有的物业建筑面积比例承担，并从业主交存的物业专项维修资金中列支。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,
安徽省物业专项维修资金管理暂行办法第二十五条,业主委员会应当每半年向业主公示物业专项维修资金收取、使用和管理等情况，接受业主的监督。业主对物业专项维修资金的交存、使用等情况有异议的，可以向业主委员会申请复核；对复核结果有异议的，可以向所在地市、县人民政府房地产行政主管部门申请重新复核。业主委员会和房地产行政主管部门应当自收到申请之日起5日内给予书面答复。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,物权纠纷 > 所有权纠纷 > 建筑物区分所有权纠纷 > 业主共有权纠纷,物权纠纷 > 所有权纠纷 > 业主撤销权纠纷,物权纠纷 > 所有权纠纷 > 业主知情权纠纷
安徽省物业专项维修资金管理暂行办法第三十三条,住宅小区外与住宅楼结构不相连的非住宅物业的物业专项维修资金交存、使用和管理，参照本办法执行。,合同、准合同纠纷 > 合同纠纷 > 物业服务合同纠纷,,,
