fullClauseName,text,cause_of_action_1,cause_of_action_2
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第十四条,公安交通管理部门会同自然资源和规划、住房城乡建设、城市管理执法等部门，根据道路停车总量控制要求、区域停车资源供求状况、道路承载能力、停车需求等，按照技术规范，施划路内停车位。施划路内停车位应当明示停车规范、停车位使用时间、收费标准、举报电话等事项。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第十五条,下列路段和区域不应施划路内停车位：（一）城市快速路和主干路的主道；（二）人行横道、人行道（依据《中华人民共和国道路交通安全法》第三十三条规定施划的停车位除外）；（三）交叉路口、铁路道口、急弯路、宽度不足四米的窄路、桥梁、陡坡、隧道以及距离上述地点五十米以内的路段；（四）公共汽车站、急救站、加油站、消防栓或者消防队（站）门前以及距离上述地点三十米以内的路段，使用上述设施的除外；（五）距路口渠化区域二十米以内的路段；（六）水、电、气等地下管道工作井以及距离上述地点1。5米以内的路段；（七）其他不宜施划的路段。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第十六条,公安交通管理部门应当定期对路内停车位施划情况进行评估，根据评估情况调整、取消路内停车位。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第十七条,紧急情况或者举行大型活动时，公安交通管理部门可以在道路范围内确定临时停车区域或者对原施划的路内停车位进行临时调整，并以显著标志予以告知。停车供需矛盾突出的居住区，其周边道路具备夜间、法定节假日等时段性停车条件的，公安交通管理部门可以设置时段性路内停车位、区域，并明示停车规范、免费停车时间、违反停车规范处理等内容。在限时的路内停车位停车，不得超时停车。影响交通运行的，应当及时调整或者取消。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第十八条,停车场的经营方式按照下列原则确定：（一）政府投资建设的公共停车场和路内停车位，可以委托第三方经营，通过招标等竞争性方式选择专业化停车场经营管理者。（二）社会资本投资建设的公共停车场、专用停车场，产权人可以自行经营管理，也可以委托物业服务企业或者其他停车场经营管理者进行专业化经营管理。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第十九条,停车场向社会提供机动车停放服务并收取费用的，经营管理者应当依法办理营业执照、税务登记手续。实行政府定价管理的停车场，需按规定办理服务价格登记手续。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第二十条,机动车停放服务收费实行分类管理。（一）政府投资建设的公共停车场、路内停车位，以及码头、城市交通场站、旅游景点、公立医院、公办普通高校等特定场所，机动车停放服务收费实行政府定价管理；（二）政府定价管理范围外的社会资本全额投资建设的停车场，由经营者依法自主制定服务收费标准；（三）政府与社会资本合作建设的停车场，服务收费标准由合作双方协议确定；（四）居住区机动车停放服务收费按照国家、省和市物业服务收费规定执行。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第二十一条,实行政府定价的机动车停放服务收费，由发展改革部门根据价格管理权限和法定定价程序，综合考虑停车设施等级、区域位置、服务条件、供求关系、停车时段等因素，按照城市中心区域高于外围区域、同一区域路内停车高于路外停车、拥堵时段高于空闲时段的原则，确定差别化服务收费标准。实行政府定价管理的停车场名称、收费标准、收费依据等信息应当按照规定向社会公布。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第二十二条,住房城乡建设部门会同有关部门建设全市统一的停车服务管理信息系统，对停车场信息实行动态管理，并实时公布向社会开放的停车泊位信息，包括停车场的位置、泊位数量、准停时段、收费标准等。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第二十三条,停车场经营管理者应当遵守下列规定：（一）按照规定实行明码标价，在停车场显著位置设置明码标价公示牌，公示收费定价主体、收费依据、收费标准、监督电话等内容，按照规定进行收费并出具票据；（二）按照规定设置停车设施；（三）落实车辆停放、安全保障、设施维护保养和经营管理等制度，规范经营；（四）引导车辆有序进出和停放，维护停车秩序；（五）定期清点场内车辆，发现可疑车辆及时向公安交通管理部门报告；（六）按照有关规定和标准，将停车管理纳入本市停车服务管理信息系统；（七）法律、法规、规章规定的其他要求。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第二十四条,车辆在物业管理区域内行驶、停放，应当遵守物业管理区域相关管理规定。在有条件的物业管理区域内，按规定经业主大会同意后，可以在符合规划、消防、安全、绿化等规定的前提下，统筹利用业主共有的道路或者其他场地用于停放车辆。自然资源和规划、住房城乡建设、公安交通管理部门和消防救援机构按照各自职责加强对物业管理区域停车位施划的指导。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第二十五条,鼓励、引导专用停车场在满足自身停车需求的情况下，向社会开放，实行错时共享停车。提供有偿服务的，按照本市机动车停放服务收费有关规定执行。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第二十六条,机动车驾驶员在停车场停放车辆应当遵守下列规定：（一）遵守停车场管理规定，在划定的停车位或者准许停放的地点有序停放；（二）按照规定的时间停放，并按照规定缴纳机动车停放服务费；（三）做好车辆安全防范措施；（四）法律、法规、规章规定的其他要求。,无对应案由,合同、准合同纠纷 > 合同纠纷 > 服务合同纠纷 > 停车服务合同纠纷
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第二十七条,任何单位和个人不得有下列行为：（一）擅自施划、取消路内停车位；（二）损坏停车标志、标线等停车设施、设备；（三）擅自在道路上和其他公共区域内以及在未取得所有权的停车位上设置地桩、地锁等障碍物，阻碍车辆停放和通行；（四）法律、法规、规章规定的其他禁止行为。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第二十八条,任何单位和个人不得擅自改变停车场的用途或者将停车场挪作他用。已经改变或者挪用的，应当自行恢复。因修改、调整规划确需改变停车场用途的，由自然资源和规划部门征求公安交通管理部门意见后进行审批。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第二十九条,市场监管、税务、发展改革等部门应当加强对机动车停放服务收费的监督检查，依法查处不执行政府定价政策、不执行明码标价规定、不出具和使用规定收费票据等违法违规行为。公安交通管理部门和有关部门应当加强对停车场规划、建设和经营的监督管理，依法对停车场进行监督检查，建立联合执法、协同监管、执法巡查通报和案件移送等制度，按照职责及时发现、查处违法行为。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第三十条,单位和个人有权对违反本办法的行为进行劝阻、投诉。公安交通管理部门和有关部门应当依照职责及时处理。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第三十一条,违反本办法第二十七条第一项规定，擅自施划路内停车位的，由公安交通管理部门责令改正，并按照擅自施划停车位的数量，每个停车位处以五百元的罚款。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第三十二条,违反本办法第二十八条规定，擅自改变停车场用途或将停车场挪作他用的，由自然资源和规划部门责令限期改正，逾期不改正的，依法予以处罚。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第三十三条,法律、法规、规章对违反本办法规定的行为已有处罚规定的，适用其规定。对违反本办法规定的行为，已实行相对集中行政处罚权的，按照本市城市管理相对集中行政处罚权相关规定执行。,无对应案由,
铜陵市机动车停车场管理办法（铜陵市人民政府令4号）第三十四条,停车场规划、建设和监督管理有关部门的工作人员违反本办法规定，滥用职权、徇私舞弊、玩忽职守的，依法给予处分；涉嫌犯罪的，移送司法机关追究刑事责任。,无对应案由,
